Source,Target,Weight
周瑞家的,王熙凤,445
周瑞家的,平儿,133
周瑞家的,王夫人,184
周瑞家的,薛姨妈,57
周瑞家的,薛宝钗,69
周瑞家的,贾宝玉,129
周瑞家的,林黛玉,87
周瑞家的,贾迎春,123
周瑞家的,贾探春,85
周瑞家的,贾惜春,73
平儿,刘姥姥,463
平儿,周瑞家的,133
平儿,贾母,872
平儿,贾琏,830
平儿,王熙凤,1966
平儿,李纨,495
平儿,贾宝玉,749
平儿,尤氏,91
平儿,王夫人,458
平儿,林黛玉,242
平儿,香菱,96
平儿,袭人,524
平儿,薛姨妈,48
平儿,赵姨娘,64
平儿,贾环,43
平儿,薛宝钗,325
平儿,贾惜春,61
平儿,贾迎春,47
平儿,贾探春,364
平儿,鸳鸯,361
平儿,紫鹃,191
平儿,雪雁,113
平儿,晴雯,75
平儿,史湘云,135
平儿,邢夫人,191
平儿,宝琴,58
平儿,芳官,178
莺儿,薛姨妈,42
莺儿,薛宝钗,328
莺儿,贾宝玉,572
莺儿,贾母,147
莺儿,麝月,59
莺儿,袭人,175
莺儿,贾环,59
莺儿,贾探春,50
莺儿,史湘云,40
莺儿,林黛玉,76
香菱,王夫人,45
香菱,薛姨妈,467
香菱,林黛玉,259
香菱,薛宝钗,526
香菱,王熙凤,83
香菱,贾琏,245
香菱,平儿,96
香菱,贾宝玉,548
香菱,晴雯,54
香菱,袭人,210
香菱,贾探春,163
香菱,贾迎春,47
香菱,史湘云,144
香菱,贾母,199
香菱,薛蟠,446
香菱,宝琴,100
香菱,老婆子,46
香菱,金桂,489
香菱,宝蟾,651
香菱,薛蝌,94
尤氏,王熙凤,721
尤氏,王夫人,334
尤氏,贾母,1158
尤氏,贾宝玉,247
尤氏,贾蓉,141
尤氏,平儿,91
尤氏,贾珍,186
尤氏,林黛玉,55
尤氏,邢夫人,179
尤氏,袭人,92
尤氏,贾赦,40
尤氏,贾政,75
尤氏,李纨,180
尤氏,薛姨妈,61
尤氏,薛宝钗,158
尤氏,贾琏,112
尤氏,鸳鸯,210
尤氏,贾探春,264
尤氏,宝琴,126
尤氏,史湘云,111
尤氏,贾惜春,230
紫鹃,林黛玉,2440
紫鹃,雪雁,1039
紫鹃,贾宝玉,1687
紫鹃,薛姨妈,50
紫鹃,袭人,514
紫鹃,史湘云,129
紫鹃,王熙凤,137
紫鹃,薛宝钗,221
紫鹃,贾母,797
紫鹃,王夫人,138
紫鹃,贾探春,166
紫鹃,贾惜春,58
紫鹃,鸳鸯,71
紫鹃,平儿,191
紫鹃,老婆子,42
紫鹃,李纨,392
老婆子,贾宝玉,240
老婆子,贾母,337
老婆子,王熙凤,172
老婆子,袭人,88
老婆子,晴雯,51
老婆子,鸳鸯,82
老婆子,王夫人,87
老婆子,薛宝钗,55
老婆子,林黛玉,119
老婆子,紫鹃,42
老婆子,贾琏,141
老婆子,贾探春,67
老婆子,贾惜春,45
老婆子,香菱,46
老婆子,贾珍,49
老婆子,贾蓉,46
贾芸,贾宝玉,269
贾芸,袭人,71
贾芸,贾母,80
贾芸,贾政,64
贾芸,贾琏,88
贾芸,王熙凤,291
贾芸,贾环,91
金桂,薛蟠,472
金桂,香菱,489
金桂,薛姨妈,304
金桂,薛宝钗,166
金桂,宝蟾,631
金桂,薛蝌,310
妙玉,王夫人,57
妙玉,贾母,177
妙玉,贾宝玉,540
妙玉,薛宝钗,136
妙玉,林黛玉,141
妙玉,贾惜春,330
贾环,贾政,106
贾环,贾宝玉,307
贾环,贾母,120
贾环,邢夫人,64
贾环,王夫人,152
贾环,薛宝钗,109
贾环,王熙凤,90
贾环,麝月,41
贾环,袭人,47
贾环,莺儿,59
贾环,赵姨娘,141
贾环,平儿,43
贾环,贾芸,91
史湘云,贾宝玉,1409
史湘云,贾母,1283
史湘云,袭人,606
史湘云,麝月,57
史湘云,晴雯,100
