Source,Target,Weight
薛宝钗,贾母,2754
薛宝钗,林黛玉,2643
薛宝钗,贾迎春,232
薛宝钗,贾宝玉,4632
薛宝钗,贾探春,569
薛宝钗,贾惜春,213
薛宝钗,邢夫人,143
薛宝钗,莺儿,324
薛宝钗,和尚,221
薛宝钗,刘姥姥,151
薛宝钗,香菱,518
薛宝钗,王熙凤,910
薛宝钗,李纨,352
薛宝钗,尤氏,154
薛宝钗,贾琏,147
薛宝钗,贾环,109
薛宝钗,袭人,1602
薛宝钗,麝月,208
薛宝钗,晴雯,215
薛宝钗,史湘云,993
薛宝钗,紫鹃,211
薛宝钗,平儿,323
薛宝钗,鸳鸯,434
薛宝钗,妙玉,135
薛宝钗,薛蝌,121
薛宝钗,宝琴,276
薛宝钗,金桂,166
薛宝钗,宝蟾,122
薛姨妈,王夫人,523
薛姨妈,薛蟠,463
薛姨妈,贾母,1669
薛姨妈,贾政,122
薛姨妈,贾琏,122
薛姨妈,薛宝钗,1195
薛姨妈,林黛玉,454
薛姨妈,刘姥姥,132
薛姨妈,贾宝玉,841
薛姨妈,香菱,454
薛姨妈,王熙凤,714
薛姨妈,袭人,260
薛姨妈,史湘云,192
薛姨妈,鸳鸯,432
薛姨妈,薛蝌,164
薛姨妈,金桂,304
薛姨妈,宝蟾,231
晴雯,贾宝玉,2654
晴雯,袭人,969
晴雯,麝月,615
晴雯,贾母,480
晴雯,林黛玉,304
晴雯,王夫人,355
晴雯,王熙凤,220
晴雯,薛宝钗,215
晴雯,史湘云,100
晴雯,芳官,247
麝月,贾宝玉,1613
麝月,袭人,757
麝月,晴雯,615
麝月,林黛玉,113
麝月,贾母,336
麝月,王夫人,161
麝月,薛宝钗,208
刘姥姥,贾宝玉,203
刘姥姥,王熙凤,824
刘姥姥,王夫人,350
刘姥姥,周瑞家的,214
刘姥姥,贾母,940
刘姥姥,贾琏,141
刘姥姥,平儿,463
刘姥姥,薛姨妈,132
刘姥姥,林黛玉,135
刘姥姥,薛宝钗,151
刘姥姥,鸳鸯,725
刘姥姥,李纨,104
周瑞家的,刘姥姥,214
周瑞家的,贾母,199
周瑞家的,王熙凤,443
周瑞家的,平儿,133
周瑞家的,王夫人,184
周瑞家的,贾宝玉,129
周瑞家的,贾迎春,123
平儿,刘姥姥,463
平儿,周瑞家的,133
平儿,贾母,871
平儿,贾琏,830
平儿,王熙凤,1965
平儿,李纨,495
平儿,贾宝玉,748
平儿,王夫人,458
平儿,林黛玉,242
平儿,袭人,524
平儿,薛宝钗,323
平儿,贾探春,364
平儿,鸳鸯,361
平儿,紫鹃,191
平儿,雪雁,113
平儿,史湘云,135
平儿,邢夫人,191
平儿,芳官,178
莺儿,薛宝钗,324
莺儿,贾宝玉,570
莺儿,贾母,147
莺儿,袭人,175
香菱,薛姨妈,454
香菱,林黛玉,251
香菱,薛宝钗,518
香菱,贾琏,245
香菱,贾宝玉,548
香菱,袭人,210
香菱,贾探春,155
香菱,史湘云,144
香菱,贾母,194
香菱,薛蟠,439
香菱,宝琴,100
香菱,金桂,489
香菱,宝蟾,651
尤氏,王熙凤,699
尤氏,王夫人,330
尤氏,贾母,1128
尤氏,贾宝玉,242
尤氏,贾蓉,141
尤氏,贾珍,185
尤氏,邢夫人,171
尤氏,李纨,180
尤氏,薛宝钗,154
尤氏,贾琏,112
尤氏,鸳鸯,203
尤氏,贾探春,262
尤氏,宝琴,123
尤氏,史湘云,110
尤氏,贾惜春,229
紫鹃,林黛玉,2432
紫鹃,雪雁,1039
紫鹃,贾宝玉,1677
紫鹃,袭人,514
紫鹃,史湘云,129
紫鹃,王熙凤,137
紫鹃,薛宝钗,211
紫鹃,贾母,797
紫鹃,王夫人,138
紫鹃,贾探春,166
紫鹃,平儿,191
紫鹃,李纨,392
老婆子,贾宝玉,240
老婆子,贾母,335
老婆子,王熙凤,169
老婆子,林黛玉,117
老婆子,贾琏,141
贾芸,贾宝玉,269
贾芸,王熙凤,291
金桂,薛蟠,472
金桂,香菱,489
金桂,薛姨妈,304
